DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,NO,2013,16569,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,NO,2014,16148,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,NO,2015,15883,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,NO,2016,15886,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,NO,2017,15456,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,NO,2018,14994,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,TOTAL,NO,2019,14361,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,1992,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,1993,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,1994,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,1995,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,1996,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,1997,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,1998,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,1999,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2000,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2001,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2002,1,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2003,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2004,1,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2005,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2006,4,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2007,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2008,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2009,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2010,0,
